hpcd,mdc6,value
1828,60235,539
20123,130030,539
31110,40040,539
10023,50070,538
10053,130030,538
20003,06007x,538
20083,40040,538
20106,10010,538
30349,70230,538
30987,40040,538
3174,70343,537
10067,20110,537
20115,20110,537
30659,160620,537
30786,20110,537
31504,50050,537
10021,110280,536
10038,40040,536
10042,50050,536
10044,20110,536
20114,50130,536
30217,40040,536
30900,60100,536
20009,40040,535
20074,40040,535
30061,20200,535
30551,50050,535
30839,40040,535
30873,40040,535
30993,50050,535
31090,60100,535
30082,90010,534
20048,50050,533
20057,40040,533
30330,20110,533
30415,20110,533
31287,90010,533
10066,12002x,532
30478,20110,532
30844,40040,532
90068,120060,532
40,160610,531
944,60102,531
10026,110280,531
20091,40040,531
20155,40080,531
30092,40040,531
30835,40040,531
20097,50050,530
31192,10310,530
20015,40040,529
30333,50050,529
30567,50070,529
30903,20110,529
20081,40040,528
20098,40040,528
30154,10060,528
30988,60100,528
31076,20110,528
10049,06007x,527
10075,90010,527
20008,40040,527
20031,60100,527
20116,40040,527
30279,03001x,527
30915,60100,527
31266,40040,527
90026,11012x,527
10031,60050,526
10046,70343,526
20060,60100,526
30118,60100,526
30120,50080,526
30915,40040,526
31511,50050,526
20026,03001x,525
30815,60100,525
31016,40040,525
20024,50070,524
20055,60100,524
20140,50050,524
31509,70230,524
10007,20110,523
10018,20110,523
10026,20110,523
10031,12002x,523
10049,40040,523
20081,140010,523
20106,50050,523
30785,40040,523
2907,60100,522
10025,60010,522
10031,60035,522
20066,50050,522
30914,130030,522
30976,40040,522
1790,90010,521
20070,40040,521
20114,40040,521
30139,40040,521
30547,40040,521
30765,140010,521
3023,50050,520
10010,12002x,520
20072,40040,520
20107,40040,520
30788,40040,520
1801,60230,519
10043,12002x,519
10046,20200,519
10049,90010,518
20023,20110,518
20060,50161,518
30279,60020,518
10046,10060,517
20019,40040,517
20076,40040,517
30405,07040x,517
31408,40040,517
647,11012x,516
809,20110,516
20006,130030,516
30009,50070,516
30386,20110,516
31341,50130,516
31508,50050,516
20024,50050,515
20138,40040,515
30776,40040,515
30883,50070,515
10056,60050,514
20089,20110,514
10031,60040,513
20050,50050,513
20111,60100,513
20128,70343,513
30364,60050,513
30557,50050,513
31213,110280,513
31509,50050,513
10013,60020,512
10035,110280,512
10064,20110,512
10072,20110,512
10082,20110,512
20014,50050,512
20018,20110,512
20054,60100,512
30538,90010,512
1398,60241,511
20112,14031x,511
30783,40040,511
31341,50170,511
30488,100000,511
10058,20150,510
10064,40040,510
30176,60100,510
30466,140010,510
30978,30250,510
20003,120060,509
30082,12002x,509
30330,40040,509
31395,140010,509
10018,60050,508
30044,40040,508
30673,140010,508
30874,40040,508
30934,20110,508
10019,60100,507
10024,90010,507
10078,130030,507
20066,40040,507
30184,110280,507
10055,60340,506
30533,60100,506
30662,50070,506
30840,50050,506
30101,40040,505
30279,60010,505
30797,50050,505
31406,20110,505
1529,20110,504
2878,50050,504
10079,50070,504
20098,50050,504
20151,50050,504
30069,40040,504
30765,110080,504
580,10030,502
20026,130030,502
20083,10060,502
20088,40040,502
20119,50070,502
30014,50050,502
30366,20110,502
30492,14031x,502
90156,130030,502
10007,06007x,501
20010,60035,501
20126,50050,501
10078,60010,500
20060,50070,500
30698,20110,500
30783,50050,500
30784,50050,500
10026,50050,499
10073,12002x,499
20041,12002x,499
20083,50070,499
30570,06007x,499
31054,50050,499
31301,10060,499
1251,50050,498
10032,12002x,498
20149,40040,498
1807,70160,497
10048,12002x,497
20026,50070,497
20028,110080,497
20144,110280,497
30115,130030,497
30156,140010,497
20089,30000,497
20004,10060,496
30839,50050,496
10021,40040,495
20053,50050,495
20055,20110,495
20070,130030,495
30187,50050,495
30557,160620,495
31399,60100,495
31445,70470,495
10058,60180,494
10076,20110,494
20050,40040,494
30122,20110,494
30281,50130,494
10044,50050,493
30068,20110,493
31019,50050,493
497,11012x,492
1312,50050,492
10005,60050,492
10040,40040,492
10078,20110,492
20052,60035,492
20131,40040,492
20146,50130,492
30271,50050,492
30323,60100,492
20144,100000,492
10014,20110,491
20042,140010,491
20057,50130,491
20086,10060,491
30019,50050,491
30038,60100,491
30499,70343,491
30913,20110,491
10048,06007x,490
20108,60040,489
20149,20110,489
90078,20110,489
269,20110,488
619,50050,488
10023,50050,488
20089,12002x,488
20112,50060,488
30044,50050,488
10031,110080,487
20064,60020,487
10026,30000,487
20097,20110,486
30284,60100,486
1,40130,485
10062,90010,485
20071,20110,485
20082,90010,485
20123,40000,485
2994,11012x,484
10005,12002x,484
20006,60100,484
20106,60100,484
20128,40040,483
10035,140010,482
10049,120010,482
10051,40040,482
20093,50070,482
20094,20110,482
10047,10000,482
2851,140010,481
10025,40040,481
30322,20110,481
30456,20110,481
30607,70343,481
20068,90010,480
20116,20110,480
20141,140010,480
30947,60235,480
31249,20110,480
31271,110080,480
30475,40000,480
20044,60035,479
20081,50050,479
30042,10060,479
30066,60100,479
30387,60100,479
30643,40040,479
30759,50050,479
30962,20110,479
10031,100000,479
10037,06007x,478
30747,20110,478
30886,10060,478
30950,10060,478
30955,50170,478
2925,20110,477
10076,40040,477
10079,40040,477
20145,50050,477
30023,110280,477
30167,60100,477
30483,40040,477
30541,50050,477
20129,50050,476
30120,60020,476
30438,50050,476
20033,12002x,475
20118,90010,475
30364,60040,475
30465,50130,475
30587,20110,475
30733,20110,475
30934,40040,475
30978,20110,475
2479,120260,474
20041,130030,474
20043,130030,474
20085,10060,474
20120,40040,474
20153,140010,474
30422,140010,474
31341,10060,474
10029,50070,473
20008,50050,473
20020,20110,473
20051,50050,473
10066,20110,472
20003,50050,472
20024,60100,472
20052,60030,472
20057,160800,472
30189,10060,472
31517,50050,472
10038,50050,471
10065,12002x,471
10081,20110,471
30818,20110,471
31050,50070,471
3135,20320,470
20032,50050,470
20092,20110,470
30353,50050,470
30664,50050,470
30799,60100,470
30877,20110,470
31462,50050,470
1828,60241,469
10069,40040,469
30136,60100,469
30210,90010,469
30773,10060,469
31161,50050,469
1941,130030,468
3178,70343,468
10016,140010,468
10024,03001x,468
20038,50130,468
20043,110070,468
20047,12002x,468
31140,40040,468
10024,140010,467
20052,130030,467
20094,10060,467
20098,20110,467
10021,10000,467
10049,20110,466
10055,50050,466
20030,10060,466
20061,140010,466
20134,50130,466
31016,20110,466
31502,40000,466
1290,40040,465
20016,60340,465
20055,10060,465
30387,60130,465
30431,20110,465
30878,50050,465
30963,20110,465
31225,50050,465
1496,60050,464
20077,50050,464
20143,50050,464
30235,60100,464
30364,90010,464
30865,20110,464
30914,50050,464
30947,50050,464
2999,20220,463
10022,110080,463
20036,50050,463
20039,20110,463
20040,20110,463
20108,60050,463
20138,50050,463
30122,60100,463
31142,60100,463
30314,60100,462
235,50070,461
2909,20200,461
10055,140010,461
20136,50070,461
30328,20110,461
31192,140010,461
31461,40040,461
90199,50050,461
20089,100000,461
10025,90010,460
10027,50050,460
10031,130030,460
20063,50050,460
20094,50050,460
20127,140010,460
30103,130030,460
31360,50050,460
1987,20110,459
10033,50070,459
30890,20110,459
2865,110280,458
10019,40040,458
20147,10060,458
30314,20110,458
30499,110080,458
30563,20110,458
30735,50050,458
10061,20110,457
10065,14031x,457
20116,140010,457
20152,50130,457
30172,10060,457
30201,50050,457
30235,40040,457
30568,60035,457
30570,90010,457
30753,50050,457
31120,40040,457
20034,50070,456
20052,20040,456
20090,40040,456
20097,10060,456
20106,20110,456
30222,50050,456
30835,60100,456
10039,90010,455
10059,140010,455
10078,12002x,455
20083,60100,455
20130,130030,455
30266,110280,455
30999,20200,455
10004,50070,454
10008,20110,454
10029,20160,454
20106,10230,454
30120,60000,454
20006,60035,453
20044,50050,453
31142,12002x,453
30933,100000,453
139,70343,452
10050,40040,452
20017,12002x,452
